Player,Pos,Tm,G,MP,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%
Joel Anthony\anthojo01,C,SAS,19,122,.640,.000,.500,7.6,20.9,14.4,3.4,0.8,4.0,17.0,8.7
Trevor Ariza\arizatr01,SF,HOU,80,2773,.548,.695,.158,2.1,15.9,9.0,8.8,2.5,0.6,8.0,14.1
Darrell Arthur\arthuda01,PF,DEN,41,639,.583,.544,.102,4.4,14.9,9.7,9.3,1.5,2.5,13.8,17.3
Omer Asik\asikom01,C,NOP,31,482,.517,.000,.600,10.4,25.3,17.8,4.2,0.5,1.7,14.6,8.8
D.J. Augustin\augusdj01,PG,ORL,78,1538,.524,.530,.311,1.0,7.4,4.1,20.4,1.0,0.1,13.3,19.4
Luke Babbitt\babbilu01,SF,MIA,68,1065,.563,.747,.053,1.3,13.5,7.4,4.8,1.0,0.8,8.0,13.0
Ron Baker\bakerro01,SG,NYK,52,857,.456,.396,.198,1.5,10.8,6.2,17.3,2.0,0.8,19.2,14.8
Wade Baldwin\baldwwa01,PG,MEM,33,405,.404,.191,.322,3.0,10.2,6.5,22.8,2.3,1.7,23.4,19.2
Leandro Barbosa\barbole01,SG,PHO,67,963,.509,.250,.115,1.6,10.3,5.9,13.0,1.5,0.7,10.4,20.0
J.J. Barea\bareajo01,PG,DAL,35,771,.521,.431,.149,1.3,11.9,6.3,44.2,0.9,0.1,14.7,26.2
Harrison Barnes\barneha02,PF,DAL,79,2803,.541,.173,.220,3.7,13.2,8.2,7.8,1.2,0.5,6.8,25.3
